"short_description","icd_code","long_title"
"Hospital observation services","7313   ","Major osseous defects"
"Integumentary system","7313   ","Major osseous defects"
"Musculoskeletal system","7313   ","Major osseous defects"
"Cardiovascular","7318   ","Other bone involvement in diseases classified elsewhere"
"Cardiovascular system","7318   ","Other bone involvement in diseases classified elsewhere"
"Digestive system","7318   ","Other bone involvement in diseases classified elsewhere"
"Hospital observation services","7318   ","Other bone involvement in diseases classified elsewhere"
"Integumentary system","7318   ","Other bone involvement in diseases classified elsewhere"
"Musculoskeletal system","7318   ","Other bone involvement in diseases classified elsewhere"
"Hospital observation services","7320   ","Juvenile osteochondrosis of spine"
"Hospital observation services","7321   ","Juvenile osteochondrosis of hip and pelvis"
"Hospital observation services","7323   ","Juvenile osteochondrosis of upper extremity"
"Musculoskeletal system","7323   ","Juvenile osteochondrosis of upper extremity"
"Digestive system","7324   ","Juvenile osteochondrosis of lower extremity, excluding foot"
"Hospital observation services","7324   ","Juvenile osteochondrosis of lower extremity, excluding foot"
"Musculoskeletal system","7324   ","Juvenile osteochondrosis of lower extremity, excluding foot"
"Nervous system","7324   ","Juvenile osteochondrosis of lower extremity, excluding foot"
"Hospital observation services","7329   ","Unspecified osteochondropathy"
"Auditory system","73300  ","Osteoporosis, unspecified"
"Bone/joint studies","73300  ","Osteoporosis, unspecified"
"Cardiovascular","73300  ","Osteoporosis, unspecified"
"Cardiovascular system","73300  ","Osteoporosis, unspecified"
"Digestive system","73300  ","Osteoporosis, unspecified"
"Endocrine system","73300  ","Osteoporosis, unspecified"
"Eye and ocular adnexa","73300  ","Osteoporosis, unspecified"
"Female genital system","73300  ","Osteoporosis, unspecified"
"Hemic and lymphatic systems","73300  ","Osteoporosis, unspecified"
"Hospital observation services","73300  ","Osteoporosis, unspecified"
"Integumentary system","73300  ","Osteoporosis, unspecified"
"Mediastinum and diaphragm","73300  ","Osteoporosis, unspecified"
"Musculoskeletal system","73300  ","Osteoporosis, unspecified"
"Nervous system","73300  ","Osteoporosis, unspecified"
"Physical medicine and rehabilitation","73300  ","Osteoporosis, unspecified"
"Respiratory system","73300  ","Osteoporosis, unspecified"
"Urinary system","73300  ","Osteoporosis, unspecified"
"Hospital observation services","73301  ","Senile osteoporosis"
"Cardiovascular","73309  ","Other osteoporosis"
"Cardiovascular system","73309  ","Other osteoporosis"
"Digestive system","73309  ","Other osteoporosis"
"Hospital observation services","73309  ","Other osteoporosis"
"Integumentary system","73309  ","Other osteoporosis"
"Musculoskeletal system","73309  ","Other osteoporosis"
"Respiratory system","73309  ","Other osteoporosis"
"Hemic and lymphatic systems","73311  ","Pathologic fracture of humerus"
"Hospital observation services","73311  ","Pathologic fracture of humerus"
"Hospital observation services","73312  ","Pathologic fracture of distal radius and ulna"
"Musculoskeletal system","73312  ","Pathologic fracture of distal radius and ulna"
"Digestive system","73313  ","Pathologic fracture of vertebrae"
"Hemic and lymphatic systems","73313  ","Pathologic fracture of vertebrae"
"Hospital observation services","73313  ","Pathologic fracture of vertebrae"
"Integumentary system","73313  ","Pathologic fracture of vertebrae"
"Musculoskeletal system","73313  ","Pathologic fracture of vertebrae"
"Nervous system","73313  ","Pathologic fracture of vertebrae"
"Respiratory system","73313  ","Pathologic fracture of vertebrae"
"Hospital observation services","73314  ","Pathologic fracture of neck of femur"
"Hospital observation services","73315  ","Pathologic fracture of other specified part of femur"
"Hospital observation services","73316  ","Pathologic fracture of tibia or fibula"
"Hospital observation services","73319  ","Pathologic fracture of other specified site"
"Hydration,therapeutic,prophylactic,diagnostic injections and infusions,and chemotherapy and other highly complex drug or highly complex biologic agent administration","73319  ","Pathologic fracture of other specified site"
"Hospital observation services","73320  ","Cyst of bone (localized), unspecified"
"Musculoskeletal system","73320  ","Cyst of bone (localized), unspecified"
"Nervous system","73320  ","Cyst of bone (localized), unspecified"
"Respiratory system","73340  ","Aseptic necrosis of bone, site unspecified"
"Hospital observation services","73341  ","Aseptic necrosis of head of humerus"
"Musculoskeletal system","73341  ","Aseptic necrosis of head of humerus"
"Nervous system","73341  ","Aseptic necrosis of head of humerus"
"Digestive system","73342  ","Aseptic necrosis of head and neck of femur"
"Hospital observation services","73342  ","Aseptic necrosis of head and neck of femur"
"Musculoskeletal system","73342  ","Aseptic necrosis of head and neck of femur"
"Cardiovascular","73349  ","Aseptic necrosis of bone, other"
"Cardiovascular system","73349  ","Aseptic necrosis of bone, other"
"Digestive system","73349  ","Aseptic necrosis of bone, other"
"Hospital observation services","73349  ","Aseptic necrosis of bone, other"
"Integumentary system","73349  ","Aseptic necrosis of bone, other"
"Musculoskeletal system","73349  ","Aseptic necrosis of bone, other"
"Digestive system","7336   ","Tietze's disease"
"Hospital observation services","7336   ","Tietze's disease"
"Hospital observation services","73381  ","Malunion of fracture"
"Musculoskeletal system","73381  ","Malunion of fracture"
"Nervous system","73381  ","Malunion of fracture"
"Hemic and lymphatic systems","73382  ","Nonunion of fracture"
"Hospital observation services","73382  ","Nonunion of fracture"
"Integumentary system","73382  ","Nonunion of fracture"
"Musculoskeletal system","73382  ","Nonunion of fracture"
"Nervous system","73382  ","Nonunion of fracture"
"Cardiovascular","73390  ","Disorder of bone and cartilage, unspecified"
"Cardiovascular system","73390  ","Disorder of bone and cartilage, unspecified"
"Digestive system","73390  ","Disorder of bone and cartilage, unspecified"
"Endocrine system","73390  ","Disorder of bone and cartilage, unspecified"
"Female genital system","73390  ","Disorder of bone and cartilage, unspecified"
"Hemic and lymphatic systems","73390  ","Disorder of bone and cartilage, unspecified"
"Hospital observation services","73390  ","Disorder of bone and cartilage, unspecified"
"Integumentary system","73390  ","Disorder of bone and cartilage, unspecified"
"Musculoskeletal system","73390  ","Disorder of bone and cartilage, unspecified"
"Nervous system","73390  ","Disorder of bone and cartilage, unspecified"
"Respiratory system","73390  ","Disorder of bone and cartilage, unspecified"
"Urinary system","73390  ","Disorder of bone and cartilage, unspecified"
"Hospital observation services","73392  ","Chondromalacia"
"Musculoskeletal system","73392  ","Chondromalacia"
"Hospital observation services","73395  ","Stress fracture of other bone"
"Hospital observation services","73396  ","Stress fracture of femoral neck"
"Hospital observation services","73397  ","Stress fracture of shaft of femur"
"Hospital observation services","73398  ","Stress fracture of pelvis"
"Cardiovascular","73399  ","Other disorders of bone and cartilage"
"Cardiovascular system","73399  ","Other disorders of bone and cartilage"
"Digestive system","73399  ","Other disorders of bone and cartilage"
"Hospital observation services","73399  ","Other disorders of bone and cartilage"
"Integumentary system","73399  ","Other disorders of bone and cartilage"
"Musculoskeletal system","73399  ","Other disorders of bone and cartilage"
"Nervous system","73399  ","Other disorders of bone and cartilage"
"Respiratory system","73399  ","Other disorders of bone and cartilage"
"Urinary system","73399  ","Other disorders of bone and cartilage"
"Cardiovascular system","734    ","Flat foot"
"Hospital observation services","734    ","Flat foot"
"Integumentary system","734    ","Flat foot"
"Musculoskeletal system","734    ","Flat foot"
"Nervous system","734    ","Flat foot"
"Hemic and lymphatic systems","7350   ","Hallux valgus (acquired)"
"Hospital observation services","7350   ","Hallux valgus (acquired)"
"Musculoskeletal system","7350   ","Hallux valgus (acquired)"
"Nervous system","7350   ","Hallux valgus (acquired)"
"Musculoskeletal system","7351   ","Hallux varus (acquired)"
"Hospital observation services","7352   ","Hallux rigidus"
"Musculoskeletal system","7352   ","Hallux rigidus"
"Cardiovascular system","7354   ","Other hammer toe (acquired)"
"Hemic and lymphatic systems","7354   ","Other hammer toe (acquired)"
"Hospital observation services","7354   ","Other hammer toe (acquired)"
"Integumentary system","7354   ","Other hammer toe (acquired)"
"Musculoskeletal system","7354   ","Other hammer toe (acquired)"
"Nervous system","7354   ","Other hammer toe (acquired)"
"Hospital observation services","7355   ","Claw toe (acquired)"
"Musculoskeletal system","7355   ","Claw toe (acquired)"
"Hospital observation services","7358   ","Other acquired deformities of toe"
"Hospital observation services","73605  ","Wrist drop (acquired)"
"Hospital observation services","73606  ","Claw hand (acquired)"
"Musculoskeletal system","73606  ","Claw hand (acquired)"
"Musculoskeletal system","73609  ","Other acquired deformities of forearm, excluding fingers"
"Hospital observation services","7361   ","Mallet finger"
"Integumentary system","7361   ","Mallet finger"
"Musculoskeletal system","7361   ","Mallet finger"
"Hospital observation services","73629  ","Other acquired deformities of finger"
"Hemic and lymphatic systems","73670  ","Unspecified deformity of ankle and foot, acquired"
"Hospital observation services","73670  ","Unspecified deformity of ankle and foot, acquired"
"Musculoskeletal system","73670  ","Unspecified deformity of ankle and foot, acquired"
"Hospital observation services","73672  ","Equinus deformity of foot, acquired"
"Musculoskeletal system","73672  ","Equinus deformity of foot, acquired"
"Musculoskeletal system","73675  ","Cavovarus deformity of foot, acquired"
"Cardiovascular","73679  ","Other acquired deformities of ankle and foot"
"Cardiovascular system","73679  ","Other acquired deformities of ankle and foot"
"Digestive system","73679  ","Other acquired deformities of ankle and foot"
"General","73679  ","Other acquired deformities of ankle and foot"
"Hospital observation services","73679  ","Other acquired deformities of ankle and foot"
"Integumentary system","73679  ","Other acquired deformities of ankle and foot"
"Musculoskeletal system","73679  ","Other acquired deformities of ankle and foot"
"Nervous system","73679  ","Other acquired deformities of ankle and foot"
"Urinary system","73679  ","Other acquired deformities of ankle and foot"
"Hospital observation services","73681  ","Unequal leg length (acquired)"
"Musculoskeletal system","73681  ","Unequal leg length (acquired)"
"Hospital observation services","73689  ","Other acquired deformity of other parts of limb"
"Musculoskeletal system","73689  ","Other acquired deformity of other parts of limb"
"Cardiovascular","73710  ","Kyphosis (acquired) (postural)"
"Cardiovascular system","73710  ","Kyphosis (acquired) (postural)"
"Digestive system","73710  ","Kyphosis (acquired) (postural)"
"Hospital observation services","73710  ","Kyphosis (acquired) (postural)"
"Hospital observation services","73720  ","Lordosis (acquired) (postural)"
"Musculoskeletal system","73720  ","Lordosis (acquired) (postural)"
"Cardiovascular","73730  ","Scoliosis [and kyphoscoliosis], idiopathic"
"Digestive system","73730  ","Scoliosis [and kyphoscoliosis], idiopathic"
"Endocrine system","73730  ","Scoliosis [and kyphoscoliosis], idiopathic"
"Female genital system","73730  ","Scoliosis [and kyphoscoliosis], idiopathic"
"Hospital observation services","73730  ","Scoliosis [and kyphoscoliosis], idiopathic"
"Maternity care and delivery","73730  ","Scoliosis [and kyphoscoliosis], idiopathic"
"Musculoskeletal system","73730  ","Scoliosis [and kyphoscoliosis], idiopathic"
"Nervous system","73730  ","Scoliosis [and kyphoscoliosis], idiopathic"
"Respiratory system","73730  ","Scoliosis [and kyphoscoliosis], idiopathic"
"Urinary system","73730  ","Scoliosis [and kyphoscoliosis], idiopathic"
"Digestive system","73741  ","Kyphosis associated with other conditions"
"Hospital observation services","73741  ","Kyphosis associated with other conditions"
"Integumentary system","73741  ","Kyphosis associated with other conditions"
"Cardiovascular","73743  ","Scoliosis associated with other conditions"
"Hospital observation services","7380   ","Acquired deformity of nose"
"Integumentary system","7380   ","Acquired deformity of nose"
"Musculoskeletal system","7380   ","Acquired deformity of nose"
"Integumentary system","73810  ","Unspecified acquired deformity of head"
"Urinary system","73810  ","Unspecified acquired deformity of head"
"Digestive system","73819  ","Other specified acquired deformity of head"
"Hospital observation services","73819  ","Other specified acquired deformity of head"
"Integumentary system","73819  ","Other specified acquired deformity of head"
"Hospital observation services","7384   ","Acquired spondylolisthesis"
"Musculoskeletal system","7384   ","Acquired spondylolisthesis"
"Digestive system","74100  ","Spina bifida with hydrocephalus, unspecified region"
"Hospital observation services","74100  ","Spina bifida with hydrocephalus, unspecified region"
"Digestive system","74190  ","Spina bifida without mention of hydrocephalus, unspecified region"
"Hospital observation services","74190  ","Spina bifida without mention of hydrocephalus, unspecified region"
"Integumentary system","74190  ","Spina bifida without mention of hydrocephalus, unspecified region"
"Musculoskeletal system","74190  ","Spina bifida without mention of hydrocephalus, unspecified region"
"Nervous system","74190  ","Spina bifida without mention of hydrocephalus, unspecified region"
"Endocrine system","74193  ","Spina bifida without mention of hydrocephalus, lumbar region"
"Hospital observation services","7421   ","Microcephalus"
"Hospital observation services","7423   ","Congenital hydrocephalus"
"Digestive system","7424   ","Other specified congenital anomalies of brain"
"Female genital system","7424   ","Other specified congenital anomalies of brain"
"Urinary system","7424   ","Other specified congenital anomalies of brain"
"Hospital observation services","74253  ","Hydromyelia"
"Nervous system","74253  ","Hydromyelia"
"Hospital observation services","74259  ","Other specified congenital anomalies of spinal cord"
"Hospital observation services","7429   ","Unspecified congenital anomaly of brain, spinal cord, and nervous system"
"Hospital observation services","74331  ","Congenital capsular and subcapsular cataract"
"Hospital observation services","74339  ","Other congenital cataract and lens anomalies"
"Hospital observation services","74361  ","Congenital ptosis"
"Nervous system","74361  ","Congenital ptosis"
"Respiratory system","74361  ","Congenital ptosis"
"Hospital observation services","74441  ","Branchial cleft sinus or fistula"
"Hospital observation services","74442  ","Branchial cleft cyst"
"Hospital observation services","74484  ","Microstomia"
"Hospital observation services","7452   ","Tetralogy of fallot"
"Digestive system","7454   ","Ventricular septal defect"
"Hospital observation services","7454   ","Ventricular septal defect"
"Cardiovascular","7455   ","Ostium secundum type atrial septal defect"
"Cardiovascular system","7455   ","Ostium secundum type atrial septal defect"
"Digestive system","7455   ","Ostium secundum type atrial septal defect"
"Endocrine system","7455   ","Ostium secundum type atrial septal defect"
"Hospital observation services","7455   ","Ostium secundum type atrial septal defect"
"Musculoskeletal system","7455   ","Ostium secundum type atrial septal defect"
"Nervous system","7455   ","Ostium secundum type atrial septal defect"
"Urinary system","7455   ","Ostium secundum type atrial septal defect"
"Hospital observation services","74560  ","Endocardial cushion defect, unspecified type"
"Cardiovascular","74602  ","Stenosis of pulmonary valve, congenital"
"Hospital observation services","74602  ","Stenosis of pulmonary valve, congenital"
"Hospital observation services","7463   ","Congenital stenosis of aortic valve"
"Cardiovascular","7464   ","Congenital insufficiency of aortic valve"
"Digestive system","7464   ","Congenital insufficiency of aortic valve"
"Eye and ocular adnexa","7464   ","Congenital insufficiency of aortic valve"
"Hospital observation services","7464   ","Congenital insufficiency of aortic valve"
"Musculoskeletal system","7464   ","Congenital insufficiency of aortic valve"
"Nervous system","7464   ","Congenital insufficiency of aortic valve"
"Hospital observation services","7466   ","Congenital mitral insufficiency"
"Cardiovascular","74685  ","Coronary artery anomaly"
"Hospital observation services","74685  ","Coronary artery anomaly"
"Male genital system","74685  ","Coronary artery anomaly"
"Urinary system","74685  ","Coronary artery anomaly"
"Hospital observation services","74687  ","Malposition of heart and cardiac apex"
"Cardiovascular","74689  ","Other specified congenital anomalies of heart"
"Digestive system","74689  ","Other specified congenital anomalies of heart"
"Hospital observation services","74689  ","Other specified congenital anomalies of heart"
"Male genital system","74689  ","Other specified congenital anomalies of heart"
"Respiratory system","74689  ","Other specified congenital anomalies of heart"
"Hospital observation services","7469   ","Unspecified congenital anomaly of heart"
"Cardiovascular","7470   ","Patent ductus arteriosus"
"Hemic and lymphatic systems","7470   ","Patent ductus arteriosus"
"Hospital observation services","7470   ","Patent ductus arteriosus"
"Integumentary system","7470   ","Patent ductus arteriosus"
"Hospital observation services","74720  ","Anomaly of aorta, unspecified"
"Hospital observation services","74721  ","Anomalies of aortic arch"
"Cardiovascular system","74722  ","Atresia and stenosis of aorta"
"Hospital observation services","74722  ","Atresia and stenosis of aorta"
"Hospital observation services","74732  ","Pulmonary arteriovenous malformation"
"Hospital observation services","74740  ","Anomaly of great veins, unspecified"
"Hospital observation services","74763  ","Upper limb vessel anomaly"
"Integumentary system","74763  ","Upper limb vessel anomaly"
"Musculoskeletal system","74763  ","Upper limb vessel anomaly"
"Nervous system","74763  ","Upper limb vessel anomaly"
"Hospital observation services","74769  ","Anomalies of other specified sites of peripheral vascular system"
"Integumentary system","74769  ","Anomalies of other specified sites of peripheral vascular system"
"Maternity care and delivery","74769  ","Anomalies of other specified sites of peripheral vascular system"
"Cardiovascular","74781  ","Anomalies of cerebrovascular system"
"Hospital observation services","74781  ","Anomalies of cerebrovascular system"
"Musculoskeletal system","74781  ","Anomalies of cerebrovascular system"
"Nervous system","74781  ","Anomalies of cerebrovascular system"
"Hospital observation services","74789  ","Other specified anomalies of circulatory system"
"Hospital observation services","7479   ","Unspecified anomaly of circulatory system"
"Hospital observation services","7481   ","Other anomalies of nose"
"Respiratory system","7481   ","Other anomalies of nose"
"Hospital observation services","7482   ","Web of larynx"
"Respiratory system","7482   ","Web of larynx"
"Gastroenterology","7483   ","Other anomalies of larynx, trachea, and bronchus"
"Hospital observation services","7483   ","Other anomalies of larynx, trachea, and bronchus"
"Respiratory system","7483   ","Other anomalies of larynx, trachea, and bronchus"
"Hospital observation services","7485   ","Agenesis, hypoplasia, and dysplasia of lung"
"Respiratory system","7485   ","Agenesis, hypoplasia, and dysplasia of lung"
"Digestive system","75027  ","Diverticulum of pharynx"
"Digestive system","7503   ","Tracheoesophageal fistula, esophageal atresia and stenosis"
"Hospital observation services","7503   ","Tracheoesophageal fistula, esophageal atresia and stenosis"
"Urinary system","7503   ","Tracheoesophageal fistula, esophageal atresia and stenosis"
"Digestive system","7504   ","Other specified anomalies of esophagus"
"Digestive system","7509   ","Unspecified anomaly of upper alimentary tract"
"Hospital observation services","7509   ","Unspecified anomaly of upper alimentary tract"
"Digestive system","7510   ","Meckel's diverticulum"
"Hospital observation services","7510   ","Meckel's diverticulum"
"Digestive system","7513   ","Hirschsprung's disease and other congenital functional disorders of colon"
"Hospital observation services","7513   ","Hirschsprung's disease and other congenital functional disorders of colon"
"Digestive system","7514   ","Anomalies of intestinal fixation"
"Hospital observation services","7514   ","Anomalies of intestinal fixation"
"Digestive system","7515   ","Other anomalies of intestine"
"Hospital observation services","7515   ","Other anomalies of intestine"
"Integumentary system","7515   ","Other anomalies of intestine"
"Digestive system","75162  ","Congenital cystic disease of liver"
"Hospital observation services","75162  ","Congenital cystic disease of liver"
"Digestive system","75169  ","Other anomalies of gallbladder, bile ducts, and liver"
"Hemic and lymphatic systems","75169  ","Other anomalies of gallbladder, bile ducts, and liver"
"Hospital observation services","75169  ","Other anomalies of gallbladder, bile ducts, and liver"
"Digestive system","7517   ","Anomalies of pancreas"
"Hospital observation services","7517   ","Anomalies of pancreas"
"Female genital system","75211  ","Embryonic cyst of fallopian tubes and broad ligaments"
"Hospital observation services","75211  ","Embryonic cyst of fallopian tubes and broad ligaments"
"Urinary system","75211  ","Embryonic cyst of fallopian tubes and broad ligaments"
"Hospital observation services","7522   ","Doubling of uterus"
"Digestive system","75231  ","Agenesis of uterus"
"Female genital system","75231  ","Agenesis of uterus"
"Hospital observation services","75231  ","Agenesis of uterus"
"Integumentary system","75231  ","Agenesis of uterus"
"Female genital system","75233  ","Unicornuate uterus"
"Hospital observation services","75233  ","Unicornuate uterus"
"Female genital system","75235  ","Septate uterus"
"Hospital observation services","75235  ","Septate uterus"
"Female genital system","75239  ","Other anomalies of uterus"
"Hospital observation services","75239  ","Other anomalies of uterus"
"Digestive system","75241  ","Embryonic cyst of cervix, vagina, and external female genitalia"
"Female genital system","75241  ","Embryonic cyst of cervix, vagina, and external female genitalia"
"Hospital observation services","75241  ","Embryonic cyst of cervix, vagina, and external female genitalia"
"Female genital system","75246  ","Transverse vaginal septum"
"Hospital observation services","75246  ","Transverse vaginal septum"
"Hospital observation services","75249  ","Other anomalies of cervix, vagina, and external female genitalia"
"Digestive system","75251  ","Undescended testis"
"Hospital observation services","75251  ","Undescended testis"
"Hospital observation services","75261  ","Hypospadias"
"Hospital observation services","75265  ","Hidden penis"
"Male genital system","75265  ","Hidden penis"
"Hospital observation services","75269  ","Other penile anomalies"
"Male genital system","75269  ","Other penile anomalies"
"Cardiovascular","7530   ","Renal agenesis and dysgenesis"
"Cardiovascular system","7530   ","Renal agenesis and dysgenesis"
"Digestive system","7530   ","Renal agenesis and dysgenesis"
"Hospital observation services","7530   ","Renal agenesis and dysgenesis"
"Musculoskeletal system","7530   ","Renal agenesis and dysgenesis"
"Nervous system","7530   ","Renal agenesis and dysgenesis"
"Urinary system","7530   ","Renal agenesis and dysgenesis"
"Digestive system","75310  ","Cystic kidney disease, unspecified"
"Hemic and lymphatic systems","75310  ","Cystic kidney disease, unspecified"
"Hospital observation services","75310  ","Cystic kidney disease, unspecified"
"Urinary system","75310  ","Cystic kidney disease, unspecified"
"Hemic and lymphatic systems","75311  ","Congenital single renal cyst"
"Integumentary system","75311  ","Congenital single renal cyst"
"Cardiovascular","75312  ","Polycystic kidney, unspecified type"
"Cardiovascular system","75312  ","Polycystic kidney, unspecified type"
"Digestive system","75312  ","Polycystic kidney, unspecified type"
"Hospital observation services","75312  ","Polycystic kidney, unspecified type"
"Respiratory system","75312  ","Polycystic kidney, unspecified type"
"Urinary system","75312  ","Polycystic kidney, unspecified type"
"Dialysis","75313  ","Polycystic kidney, autosomal dominant"
"Hospital observation services","75313  ","Polycystic kidney, autosomal dominant"
"Hospital observation services","75314  ","Polycystic kidney, autosomal recessive"
"Hospital observation services","75317  ","Medullary sponge kidney"
"Hospital observation services","75319  ","Other specified cystic kidney disease"
"Hospital observation services","75321  ","Congenital obstruction of ureteropelvic junction"
"Urinary system","75321  ","Congenital obstruction of ureteropelvic junction"
"Hospital observation services","75329  ","Other obstructive defects of renal pelvis and ureter"
"Urinary system","75329  ","Other obstructive defects of renal pelvis and ureter"
"Cardiovascular","7533   ","Other specified anomalies of kidney"
"Digestive system","7533   ","Other specified anomalies of kidney"
"Female genital system","7533   ","Other specified anomalies of kidney"
"Hospital observation services","7533   ","Other specified anomalies of kidney"
"Respiratory system","7533   ","Other specified anomalies of kidney"
"Urinary system","7533   ","Other specified anomalies of kidney"
"Hospital observation services","7534   ","Other specified anomalies of ureter"
"Urinary system","7534   ","Other specified anomalies of ureter"
"Digestive system","7537   ","Anomalies of urachus"
"Hospital observation services","7537   ","Anomalies of urachus"
"Urinary system","7537   ","Anomalies of urachus"
"Hospital observation services","7538   ","Other specified anomalies of bladder and urethra"
"Integumentary system","7538   ","Other specified anomalies of bladder and urethra"
"Urinary system","7538   ","Other specified anomalies of bladder and urethra"
"Cardiovascular system","7539   ","Unspecified anomaly of urinary system"
"Female genital system","7539   ","Unspecified anomaly of urinary system"
"Hospital observation services","7539   ","Unspecified anomaly of urinary system"
"Urinary system","7539   ","Unspecified anomaly of urinary system"
"Hospital observation services","75451  ","Talipes equinovarus"
"Musculoskeletal system","75451  ","Talipes equinovarus"
"Hospital observation services","75470  ","Talipes, unspecified"
"Hospital observation services","75471  ","Talipes cavus"
"Musculoskeletal system","75471  ","Talipes cavus"
"Musculoskeletal system","75479  ","Other deformities of feet"
"Cardiovascular","75481  ","Pectus excavatum"
"Hospital observation services","75481  ","Pectus excavatum"
"Integumentary system","75489  ","Other specified nonteratogenic anomalies"
"Hospital observation services","75522  ","Longitudinal deficiency of upper limb, not elsewhere classified"
"Hospital observation services","75525  ","Longitudinal deficiency, radioulnar, complete or partial (with or without distal deficiencies, incomplete)"
"Musculoskeletal system","75529  ","Longitudinal deficiency, phalanges, complete or partial"
"Integumentary system","75531  ","Transverse deficiency of lower limb"
"Musculoskeletal system","75531  ","Transverse deficiency of lower limb"
"Integumentary system","75534  ","Longitudinal deficiency, femoral, complete or partial (with or without distal deficiencies, incomplete)"
"Musculoskeletal system","75534  ","Longitudinal deficiency, femoral, complete or partial (with or without distal deficiencies, incomplete)"
"Hospital observation services","75553  ","Radioulnar synostosis"
"Musculoskeletal system","75553  ","Radioulnar synostosis"
"Hospital observation services","75557  ","Macrodactylia (fingers)"
"Musculoskeletal system","75557  ","Macrodactylia (fingers)"
"Hospital observation services","75559  ","Other anomalies of upper limb, including shoulder girdle"
"Digestive system","75563  ","Other congenital deformity of hip (joint)"
"Hospital observation services","75563  ","Other congenital deformity of hip (joint)"
"Hospital observation services","75611  ","Spondylolysis, lumbosacral region"
"Cardiovascular system","75612  ","Spondylolisthesis"
"Digestive system","75612  ","Spondylolisthesis"
"Hospital observation services","75612  ","Spondylolisthesis"
"Musculoskeletal system","75612  ","Spondylolisthesis"
"Nervous system","75612  ","Spondylolisthesis"
"Cardiovascular system","75616  ","Klippel-Feil syndrome"
"Hospital observation services","75616  ","Klippel-Feil syndrome"
"Digestive system","75617  ","Spina bifida occulta"
"Hospital observation services","75617  ","Spina bifida occulta"
"Hospital observation services","75619  ","Other anomalies of spine"
"Integumentary system","75619  ","Other anomalies of spine"
"Nervous system","75619  ","Other anomalies of spine"
"Hospital observation services","7564   ","Chondrodystrophy"
"Musculoskeletal system","7564   ","Chondrodystrophy"
"Hospital observation services","75650  ","Congenital osteodystrophy, unspecified"
"Hospital observation services","7566   ","Anomalies of diaphragm"
"Hospital observation services","75681  ","Absence of muscle and tendon"
"Hospital observation services","75683  ","Ehlers-Danlos syndrome"
"Musculoskeletal system","75683  ","Ehlers-Danlos syndrome"
"Nervous system","75683  ","Ehlers-Danlos syndrome"
"Digestive system","7570   ","Hereditary edema of legs"
"Hospital observation services","7570   ","Hereditary edema of legs"
"Cardiovascular","75732  ","Vascular hamartomas"
"Hospital observation services","75732  ","Vascular hamartomas"
"Digestive system","75733  ","Congenital pigmentary anomalies of skin"
"Hospital observation services","75733  ","Congenital pigmentary anomalies of skin"
"Musculoskeletal system","75733  ","Congenital pigmentary anomalies of skin"
"Nervous system","75733  ","Congenital pigmentary anomalies of skin"
"Cardiovascular system","75739  ","Other specified anomalies of skin"
"Digestive system","75739  ","Other specified anomalies of skin"
"Hospital observation services","75739  ","Other specified anomalies of skin"
"Respiratory system","75739  ","Other specified anomalies of skin"
"Digestive system","7580   ","Down's syndrome"
"Hospital observation services","7580   ","Down's syndrome"
"Respiratory system","7580   ","Down's syndrome"
"Hospital observation services","75839  ","Other autosomal deletions"
"Hospital observation services","7585   ","Other conditions due to autosomal anomalies"
"Endocrine system","7586   ","Gonadal dysgenesis"
"Hospital observation services","7586   ","Gonadal dysgenesis"
"Auditory system","7587   ","Klinefelter's syndrome"
"Cardiovascular","7587   ","Klinefelter's syndrome"
"Digestive system","7587   ","Klinefelter's syndrome"
"Hospital observation services","7587   ","Klinefelter's syndrome"
"Special otorhinolaryngologic services","7587   ","Klinefelter's syndrome"
"Digestive system","7589   ","Conditions due to anomaly of unspecified chromosome"
"Hospital observation services","7589   ","Conditions due to anomaly of unspecified chromosome"
"Hospital observation services","7590   ","Anomalies of spleen"
"Endocrine system","7592   ","Anomalies of other endocrine glands"
"Hospital observation services","7592   ","Anomalies of other endocrine glands"
"Respiratory system","7592   ","Anomalies of other endocrine glands"
"Hospital observation services","7593   ","Situs inversus"
"Digestive system","7595   ","Tuberous sclerosis"
"Hospital observation services","7595   ","Tuberous sclerosis"
"Digestive system","7596   ","Other hamartoses, not elsewhere classified"
"Hospital observation services","7596   ","Other hamartoses, not elsewhere classified"
"Respiratory system","7596   ","Other hamartoses, not elsewhere classified"
"Digestive system","75981  ","Prader-Willi syndrome"
"Hospital observation services","75981  ","Prader-Willi syndrome"
"Hospital observation services","75982  ","Marfan syndrome"
"Cardiovascular system","75989  ","Other specified congenital anomalies"
"Digestive system","75989  ","Other specified congenital anomalies"
"Female genital system","75989  ","Other specified congenital anomalies"
"Hospital observation services","75989  ","Other specified congenital anomalies"
"Integumentary system","75989  ","Other specified congenital anomalies"
"Female genital system","7599   ","Congenital anomaly, unspecified"
"Hospital observation services","7599   ","Congenital anomaly, unspecified"
"Urinary system","7599   ","Congenital anomaly, unspecified"
"Digestive system","76071  ","Alcohol affecting fetus or newborn via placenta or breast milk"
"Endocrine system","76071  ","Alcohol affecting fetus or newborn via placenta or breast milk"
"Hospital observation services","76076  ","Diethylstilbestrol [DES] affecting fetus or newborn via placenta or breast milk"
"Hospital observation services","76498  ","Fetal growth retardation, unspecified, 2,000-2,499 grams"
"Hospital observation services","76529  ","37 or more completed weeks of gestation"
"Hospital observation services","7746   ","Unspecified fetal and neonatal jaundice"
